Country,Tariff_Year,HS_Family,Average_Tariff,Free_Trade_Agreement_with_US,European_Union
Turkey,2012,08,46.86,No,No
Turkey,2012,09,41.24,No,No
Turkey,2012,10,63.61,No,No
Turkey,2012,11,36.61,No,No
Turkey,2012,14,0.00,No,No
Turkey,2012,15,17.87,No,No
Turkey,2012,16,93.76,No,No
Turkey,2012,17,92.34,No,No
Turkey,2012,18,8.99,No,No
Turkey,2012,19,12.60,No,No
Turkey,2012,20,53.38,No,No
Turkey,2012,22,19.93,No,No
Turkey,2012,24,34.78,No,No
Turkey,2012,30,0.00,No,No
Turkey,2012,40,2.47,No,No
Turkey,2012,47,0.00,No,No
Turkey,2012,72,5.36,No,No
Turkey,2012,73,1.96,No,No
Turkey,2012,87,5.80,No,No
Turkey,2012,94,2.19,No,No
Turkey,2012,95,2.34,No,No
Turkey,2011,02,139.54,No,No
Turkey,2011,07,21.62,No,No
Turkey,2011,08,46.86,No,No
Turkey,2011,09,41.24,No,No
Turkey,2011,10,63.61,No,No
Turkey,2011,11,36.61,No,No
Turkey,2011,14,0.00,No,No
Turkey,2011,15,17.87,No,No
Turkey,2011,16,93.76,No,No
Turkey,2011,17,92.34,No,No
Turkey,2011,18,8.99,No,No
Turkey,2011,19,12.60,No,No
Turkey,2011,20,53.38,No,No
Turkey,2011,22,19.93,No,No
Turkey,2011,24,34.78,No,No
Turkey,2011,30,0.00,No,No
Turkey,2011,40,2.47,No,No
Turkey,2011,47,0.00,No,No
Turkey,2011,72,5.36,No,No
Turkey,2011,73,1.96,No,No
Turkey,2011,87,5.80,No,No
Turkey,2011,94,2.19,No,No
Turkey,2011,95,2.34,No,No
Turkey,2010,02,164.75,No,No
Turkey,2010,07,21.62,No,No
Turkey,2010,08,46.68,No,No
Turkey,2010,09,41.24,No,No
Turkey,2010,10,63.61,No,No
Turkey,2010,11,36.12,No,No
Turkey,2010,14,0.00,No,No
Turkey,2010,15,17.60,No,No
Turkey,2010,16,90.70,No,No
Turkey,2010,17,92.34,No,No
Turkey,2010,18,8.99,No,No
Turkey,2010,19,12.60,No,No
