,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,loss,params,iteration,train_time
58,58,58,58,5.739078309,"{'colsample_bylevel': 0.6217616877255754, 'colsample_bytree': 0.7053382795017481, 'gamma': 0.0695508385233854, 'learning_rate': 0.12946899649114912, 'max_depth': 11, 'min_child_weight': 29, 'n_estimators': 565, 'reg_alpha': 5, 'reg_lambda': 40.33486467986272, 'subsample': 0.5623906345663465}",28,59.88535479
59,59,59,59,5.741715604,"{'colsample_bylevel': 0.751354167279667, 'colsample_bytree': 0.8369954519002715, 'gamma': 8.069385157892565, 'learning_rate': 0.15339511630308217, 'max_depth': 11, 'min_child_weight': 11, 'n_estimators': 401, 'reg_alpha': 16, 'reg_lambda': 63.56143141000804, 'subsample': 0.4181253232726015}",34,45.92018239
60,60,60,60,5.919644551,"{'colsample_bylevel': 0.8090212285285895, 'colsample_bytree': 0.6034018699582088, 'gamma': 13.056866131569311, 'learning_rate': 0.2973151211639253, 'max_depth': 9, 'min_child_weight': 21, 'n_estimators': 435, 'reg_alpha': 24, 'reg_lambda': 9.260201827888604, 'subsample': 0.9499296672832821}",50,33.81123621
61,61,61,61,6.047682584,"{'colsample_bylevel': 0.5577587304495948, 'colsample_bytree': 0.74447029707612, 'gamma': 9.512111684758933, 'learning_rate': 0.04832735316659981, 'max_depth': 10, 'min_child_weight': 17, 'n_estimators': 673, 'reg_alpha': 28, 'reg_lambda': 16.44141152454077, 'subsample': 0.8830071342095208}",95,63.80828128
62,62,62,62,6.052692208,"{'colsample_bylevel': 0.7091586712782135, 'colsample_bytree': 0.7273563346654484, 'gamma': 5.191344798785831, 'learning_rate': 0.18628083474698703, 'max_depth': 8, 'min_child_weight': 2, 'n_estimators': 672, 'reg_alpha': 25, 'reg_lambda': 52.73379147650968, 'subsample': 0.8580369133062742}",52,43.62693866
63,63,63,63,6.053260673,"{'colsample_bylevel': 0.8920138888904221, 'colsample_bytree': 0.5873615469828276, 'gamma': 14.139010105325601, 'learning_rate': 0.02021797406968527, 'max_depth': 22, 'min_child_weight': 4, 'n_estimators': 246, 'reg_alpha': 18, 'reg_lambda': 66.7930325996644, 'subsample': 0.8313361138172176}",44,266.8276162
64,64,64,64,6.287524539,"{'colsample_bylevel': 0.25380047565188824, 'colsample_bytree': 0.5772453734691513, 'gamma': 9.496962403755244, 'learning_rate': 0.03672610012540187, 'max_depth': 20, 'min_child_weight': 19, 'n_estimators': 670, 'reg_alpha': 7, 'reg_lambda': 78.41497925102335, 'subsample': 0.7466925018334718}",15,109.0990399
65,65,65,65,6.302929159,"{'colsample_bylevel': 0.663639256590636, 'colsample_bytree': 0.9170545087722636, 'gamma': 13.272764161946915, 'learning_rate': 0.012989585011010926, 'max_depth': 25, 'min_child_weight': 27, 'n_estimators': 152, 'reg_alpha': 13, 'reg_lambda': 23.985449254801253, 'subsample': 0.652400558300061}",71,156.3114857
66,66,66,66,6.331277362,"{'colsample_bylevel': 0.597271299584081, 'colsample_bytree': 0.38494787030681593, 'gamma': 6.8234158812927, 'learning_rate': 0.21795580587812097, 'max_depth': 18, 'min_child_weight': 9, 'n_estimators': 104, 'reg_alpha': 0, 'reg_lambda': 24.199460028620855, 'subsample': 0.46092478374801726}",61,26.72943901
67,67,67,67,6.35553796,"{'colsample_bylevel': 0.8369898216186816, 'colsample_bytree': 0.8617970154202562, 'gamma': 2.652973329500849, 'learning_rate': 0.08609226413813731, 'max_depth': 10, 'min_child_weight': 6, 'n_estimators': 198, 'reg_alpha': 16, 'reg_lambda': 58.17426855808, 'subsample': 0.6344803483950016}",46,20.64503426
68,68,68,68,6.358984809,"{'colsample_bylevel': 0.6111321243757075, 'colsample_bytree': 0.8003828996460883, 'gamma': 12.641386029407686, 'learning_rate': 0.09083273332708588, 'max_depth': 10, 'min_child_weight': 23, 'n_estimators': 231, 'reg_alpha': 21, 'reg_lambda': 70.69825396937928, 'subsample': 0.7172193168076187}",76,22.02558391
69,69,69,69,6.397100737,"{'colsample_bylevel': 0.9498843866342336, 'colsample_bytree': 0.45428615818830753, 'gamma': 11.017528863627907, 'learning_rate': 0.2671018463292952, 'max_depth': 9, 'min_child_weight': 14, 'n_estimators': 303, 'reg_alpha': 13, 'reg_lambda': 92.93352950310553, 'subsample': 0.7458386395426477}",2,23.89923375
70,70,70,70,6.425269062,"{'colsample_bylevel': 0.2125889390145289, 'colsample_bytree': 0.6337382045930382, 'gamma': 3.945089489096821, 'learning_rate': 0.13783309114063821, 'max_depth': 24, 'min_child_weight': 28, 'n_estimators': 101, 'reg_alpha': 25, 'reg_lambda': 5.619590209878822, 'subsample': 0.6483612930721208}",20,29.05049262
71,71,71,71,6.501119073,"{'colsample_bylevel': 0.6539166437719102, 'colsample_bytree': 0.550939733348996, 'gamma': 5.987058255113672, 'learning_rate': 0.05384403153253875, 'max_depth': 13, 'min_child_weight': 26, 'n_estimators': 148, 'reg_alpha': 8, 'reg_lambda': 54.82124722386838, 'subsample': 0.7640681717237671}",37,29.11197193
72,72,72,72,6.511956332,"{'colsample_bylevel': 0.3246767478096483, 'colsample_bytree': 0.9988962866962274, 'gamma': 4.72226716139662, 'learning_rate': 0.17294825464453947, 'max_depth': 8, 'min_child_weight': 10, 'n_estimators': 340, 'reg_alpha': 27, 'reg_lambda': 98.65660974064785, 'subsample': 0.8822408687483261}",3,22.46456158
73,73,73,73,6.677294274,"{'colsample_bylevel': 0.6536597635672067, 'colsample_bytree': 0.5643162508811567, 'gamma': 13.91085977651424, 'learning_rate': 0.17704120537737336, 'max_depth': 9, 'min_child_weight': 19, 'n_estimators': 150, 'reg_alpha': 29, 'reg_lambda': 7.090588648641191, 'subsample': 0.7483179386824289}",85,12.58779607
74,74,74,74,6.712192334,"{'colsample_bylevel': 0.14153324839694653, 'colsample_bytree': 0.7924046402573584, 'gamma': 7.134405756800193, 'learning_rate': 0.21188606913861477, 'max_depth': 18, 'min_child_weight': 15, 'n_estimators': 168, 'reg_alpha': 21, 'reg_lambda': 77.7455117152276, 'subsample': 0.6492699280210228}",11,20.01629855
75,75,75,75,6.729544442,"{'colsample_bylevel': 0.18677656763252032, 'colsample_bytree': 0.7440288788538001, 'gamma': 11.257937989640041, 'learning_rate': 0.2424270878855741, 'max_depth': 10, 'min_child_weight': 20, 'n_estimators': 296, 'reg_alpha': 1, 'reg_lambda': 72.86933420910668, 'subsample': 0.8241075248763535}",19,23.90682882
76,76,76,76,6.730327007,"{'colsample_bylevel': 0.33492535976045396, 'colsample_bytree': 0.42365766517002035, 'gamma': 0.07853578391806337, 'learning_rate': 0.10734855919749497, 'max_depth': 27, 'min_child_weight': 19, 'n_estimators': 219, 'reg_alpha': 15, 'reg_lambda': 45.529850955977906, 'subsample': 0.545888203167166}",48,181.1654743
